Enterprise,Part Number,Item Category,Item Description,Material Grade,Size,Standard,Rating,Unit
NTPC,NTPC-VLV-2201,Gate Valve,GATE V/V 100 NB CL-150 CS BODY,Carbon Steel,100 mm NB,ASTM A216,Class 150,NOS
SAIL,SAIL-GV-0447,Valve,GATE VALVE 100MM CLASS 150 CARBON STEEL BODY,CS,100 mm,ASTM A216,150#,NOS
BHEL,BHEL-VALVE-9013,Gate Valve,"C.S. GATE VALVE 4 INCH NB, CLASS-150",Carbon Steel,,,Class 150,NOS
CIL,CIL-BRG-0088,Bearing,BRG DEEP GROOVE BALL 6205 BORE 25MM,,25 mm bore,SKF 6205,,NOS
NMDC,NMDC-BEAR-1120,Bearing,"DEEP GROOVE BALL BEARING 25 MM BORE, 6205",,25mm,6205,,NOS
ONGC,ONGC-PIP-7734,Seamless Pipe,CS SMLS PIPE 80 NB SCH-40 ASTM A106,Carbon Steel,"80 mm NB, Schedule 40",ASTM A106,,MTR
IOCL,IOCL-PIPE-5502,Seamless Pipe,SEAMLESS CARBON STEEL PIPE 80MM NB SCHEDULE 80,Carbon Steel,"80 mm NB, Schedule 80",ASTM A106,,MTR
PGCIL,PGCIL-TRF-0301,Transformer,DIST TRF 100 KVA 11/0.433 KV ONAN,,,IS 1180,100 kVA,NOS
NTPC,NTPC-TR-8890,Transformer,"DISTRIBUTION TRANSFORMER 100KVA, 11 KV / 433 V, OIL NATURAL AIR NATURAL",,,IS 1180,100 KVA,NOS
GAIL,GAIL-GSK-0012,Gasket,SPIRAL WOUND GASKET 50 NB CL-300 SS316 GRAPHITE FILLED,SS316,50 mm NB,ASME B16.20,Class 300,NOS
